FEloop,Hfield,V,R,sigma
30%MnS6RxxH3K,Field,Rx1,Rx2,
Temp,,,,
3.00017,-79763.76563,0.16864,-2.60136,#SPILL!
3.00017,-79653.89063,0.16873,-2.54823,#SPILL!
3.00017,-79566.03125,0.16854,-2.6545,#SPILL!
3.00017,-79456.17969,0.16864,-2.60136,#SPILL!
3.00017,-79346.4375,0.16854,-2.6545,#SPILL!
3.00017,-79258.48438,0.16864,-2.60136,#SPILL!
3.00017,-79148.72656,0.16854,-2.6545,#SPILL!
3.00017,-79038.875,0.16864,-2.60136,#SPILL!
3.00017,-78929.0625,0.16854,-2.6545,#SPILL!
3.00017,-78841.32031,0.16864,-2.60136,#SPILL!
3.00017,-78731.33594,0.16864,-2.60136,#SPILL!
3.00017,-78621.49219,0.16845,-2.70764,#SPILL!
3.00017,-78511.67969,0.16864,-2.60136,#SPILL!
3.00017,-78423.82031,0.16864,-2.60136,#SPILL!
3.00017,-78313.79688,0.16854,-2.6545,#SPILL!
3.00017,-78203.71094,0.16854,-2.6545,#SPILL!
3.00017,-78115.64063,0.16845,-2.70764,#SPILL!
3.00017,-78005.92188,0.16864,-2.60136,#SPILL!
3.00017,-77896.02344,0.16864,-2.60136,#SPILL!
3.00017,-77786.25,0.16845,-2.70764,#SPILL!
3.00017,-77676.25,0.16854,-2.6545,#SPILL!
3.00017,-77588.45313,0.16864,-2.60136,#SPILL!
3.00017,-77478.71094,0.16845,-2.70764,#SPILL!
3.00017,-77369,0.16854,-2.6545,#SPILL!
3.00017,-77259.03125,0.16864,-2.60136,#SPILL!
3.00017,-77171.14844,0.16854,-2.6545,#SPILL!
3.00017,-77061.51563,0.16864,-2.60136,#SPILL!
3.00017,-76951.60156,0.16864,-2.60136,#SPILL!
3.00017,-76863.67969,0.16864,-2.60136,#SPILL!
3.00017,-76753.64063,0.16864,-2.60136,#SPILL!
3.00017,-76643.84375,0.16864,-2.60136,#SPILL!
3.00017,-76534.22656,0.16854,-2.6545,#SPILL!
3.00017,-76424.375,0.16864,-2.60136,#SPILL!
3.00017,-76336.44531,0.16864,-2.60136,#SPILL!
3.00017,-76226.69531,0.16882,-2.49509,#SPILL!
3.00017,-76116.83594,0.16854,-2.6545,#SPILL!
3.00017,-76006.91406,0.16864,-2.60136,#SPILL!
3.00017,-75897.05469,0.16854,-2.6545,#SPILL!
3.00017,-75809.35938,0.16864,-2.60136,#SPILL!
3.00017,-75699.375,0.16873,-2.54823,#SPILL!
3.00017,-75589.625,0.16854,-2.6545,#SPILL!
3.00017,-75501.78906,0.16873,-2.54823,#SPILL!
3.00017,-75391.78125,0.16864,-2.60136,#SPILL!
3.00017,-75282.08594,0.16864,-2.60136,#SPILL!
3.00017,-75172.25781,0.16845,-2.70764,#SPILL!
3.00017,-75084.45313,0.16845,-2.70764,#SPILL!
3.00017,-74974.60938,0.16854,-2.6545,#SPILL!
3.00017,-74886.47656,0.16854,-2.6545,#SPILL!
3.00017,-74754.875,0.16854,-2.6545,#SPILL!
3.00017,-74666.78125,0.16864,-2.60136,#SPILL!
3.00017,-74556.57813,0.16854,-2.6545,#SPILL!
3.00017,-74446.97656,0.16864,-2.60136,#SPILL!
3.00017,-74337.22656,0.16864,-2.60136,#SPILL!
3.00017,-74249.38281,0.16873,-2.54823,#SPILL!
3.00017,-74139.57031,0.16864,-2.60136,#SPILL!
3.00017,-74029.78125,0.16864,-2.60136,#SPILL!
3.00017,-73919.82813,0.16873,-2.54823,#SPILL!
3.00017,-73832.09375,0.16845,-2.70764,#SPILL!
3.00017,-73722.1875,0.16891,-2.44195,#SPILL!
3.00017,-73612.28906,0.16864,-2.60136,#SPILL!
3.00017,-73502.48438,0.16873,-2.54823,#SPILL!
3.00017,-73414.65625,0.16864,-2.60136,#SPILL!
3.00017,-73304.69531,0.16873,-2.54823,#SPILL!
3.00017,-73194.95313,0.16864,-2.60136,#SPILL!
3.00017,-73085.03125,0.16864,-2.60136,#SPILL!
3.00017,-72997.15625,0.16854,-2.6545,#SPILL!
3.00017,-72887.51563,0.16864,-2.60136,#SPILL!
3.00017,-72777.54688,0.16854,-2.6545,#SPILL!
3.00017,-72689.77344,0.16873,-2.54823,#SPILL!
3.00017,-72579.96094,0.16864,-2.60136,#SPILL!
3.00017,-72470.05469,0.16873,-2.54823,#SPILL!
3.00017,-72360.26563,0.16864,-2.60136,#SPILL!
3.00017,-72250.48438,0.16864,-2.60136,#SPILL!
3.00017,-72162.45313,0.16873,-2.54823,#SPILL!
3.00017,-72052.75,0.16873,-2.54823,#SPILL!
3.00017,-71942.85156,0.16873,-2.54823,#SPILL!
3.00017,-71855.10938,0.16864,-2.60136,#SPILL!
3.00017,-71745.32813,0.16864,-2.60136,#SPILL!
3.00017,-71635.34375,0.16864,-2.60136,#SPILL!
3.00017,-71525.48438,0.16882,-2.49509,#SPILL!
3.00017,-71415.67188,0.16873,-2.54823,#SPILL!
3.00017,-71327.82031,0.16873,-2.54823,#SPILL!
3.00017,-71218.05469,0.16864,-2.60136,#SPILL!
3.00017,-71108.13281,0.16873,-2.54823,#SPILL!
3.00017,-71020.10156,0.16854,-2.6545,#SPILL!
3.00017,-70910.375,0.16864,-2.60136,#SPILL!
3.00017,-70800.39844,0.16854,-2.6545,#SPILL!
3.00017,-70712.65625,0.16854,-2.6545,#SPILL!
3.00017,-70602.80469,0.16873,-2.54823,#SPILL!
3.00017,-70492.92969,0.16854,-2.6545,#SPILL!
3.00017,-70404.99219,0.16864,-2.60136,#SPILL!
3.00017,-70295.04688,0.16873,-2.54823,#SPILL!
3.00017,-70185.5,0.16882,-2.49509,#SPILL!
3.00017,-70075.67969,0.16882,-2.49509,#SPILL!
3.00017,-69965.80469,0.16873,-2.54823,#SPILL!
3.00017,-69856,0.16864,-2.60136,#SPILL!
3.00017,-69768.13281,0.16864,-2.60136,#SPILL!
3.00017,-69658.26563,0.16873,-2.54823,#SPILL!
3.00017,-69570.27344,0.16854,-2.6545,#SPILL!
3.00017,-69460.49219,0.16864,-2.60136,#SPILL!
3.00017,-69350.67969,0.16882,-2.49509,#SPILL!
3.00017,-69262.74219,0.16864,-2.60136,#SPILL!
3.00017,-69152.99219,0.16873,-2.54823,#SPILL!
3.00017,-69043.21094,0.16854,-2.6545,#SPILL!
3.00017,-68933.24219,0.16864,-2.60136,#SPILL!
3.00017,-68823.42969,0.16873,-2.54823,#SPILL!
3.00017,-68735.46875,0.16882,-2.49509,#SPILL!
3.00017,-68647.70313,0.16854,-2.6545,#SPILL!
3.00017,-68515.83594,0.16864,-2.60136,#SPILL!
3.00017,-68428.07813,0.16882,-2.49509,#SPILL!
3.00017,-68318.17969,0.16873,-2.54823,#SPILL!
3.00017,-68208.5,0.16873,-2.54823,#SPILL!
3.00017,-68120.71875,0.16864,-2.60136,#SPILL!
3.00017,-68010.71875,0.16864,-2.60136,#SPILL!
3.00017,-67922.75781,0.16873,-2.54823,#SPILL!
3.00017,-67790.89063,0.16873,-2.54823,#SPILL!
3.00017,-67703.05469,0.16864,-2.60136,#SPILL!
3.00017,-67592.98438,0.16882,-2.49509,#SPILL!
3.00017,-67482.89844,0.16882,-2.49509,#SPILL!
3.00017,-67373.01563,0.16882,-2.49509,#SPILL!
3.00017,-67285.26563,0.16873,-2.54823,#SPILL!
3.00017,-67175.30469,0.16873,-2.54823,#SPILL!
3.00017,-67065.53125,0.16882,-2.49509,#SPILL!
3.00017,-66977.64844,0.16854,-2.6545,#SPILL!
3.00017,-66867.70313,0.16882,-2.49509,#SPILL!
3.00017,-66779.86719,0.16891,-2.44195,#SPILL!
3.00017,-66670.13281,0.16864,-2.60136,#SPILL!
3.00017,-66560.32031,0.16864,-2.60136,#SPILL!
3.00017,-66450.60156,0.16882,-2.49509,#SPILL!
3.00017,-66362.61719,0.16873,-2.54823,#SPILL!
3.00017,-66252.69531,0.16873,-2.54823,#SPILL!
3.00017,-66142.85156,0.16882,-2.49509,#SPILL!
3.00017,-66033.05469,0.16864,-2.60136,#SPILL!
3.00017,-65945.375,0.16873,-2.54823,#SPILL!
3.00017,-65835.36719,0.16873,-2.54823,#SPILL!
3.00017,-65747.41406,0.16873,-2.54823,#SPILL!
3.00017,-65637.61719,0.16864,-2.60136,#SPILL!
3.00017,-65527.84375,0.16882,-2.49509,#SPILL!
3.00017,-65417.96094,0.16864,-2.60136,#SPILL!
3.00017,-65308.11328,0.16864,-2.60136,#SPILL!
3.00017,-65220.21875,0.16873,-2.54823,#SPILL!
3.00017,-65110.33594,0.16873,-2.54823,#SPILL!
3.00017,-65000.64844,0.16864,-2.60136,#SPILL!
3.00017,-64890.71875,0.169,-2.38882,#SPILL!
3.00017,-64802.92578,0.169,-2.38882,#SPILL!
3.00017,-64693.07422,0.16873,-2.54823,#SPILL!
3.00017,-64583.20313,0.16873,-2.54823,#SPILL!
3.00017,-64495.33203,0.16873,-2.54823,#SPILL!
3.00017,-64385.41797,0.16864,-2.60136,#SPILL!
3.00017,-64275.5625,0.16882,-2.49509,#SPILL!
3.00017,-64165.78125,0.16873,-2.54823,#SPILL!
3.00017,-64077.92578,0.16882,-2.49509,#SPILL!
